cik,filing_type,date,film_number,download_link,status
1055726,10-q,1999-11-12,99749099,https://www.sec.gov/Archives/edgar/data/1055726/000093639299001306/0000936392-99-001306.txt,No '.htm' File Found
1055726,10-q,1999-08-13,99689849,https://www.sec.gov/Archives/edgar/data/1055726/000093639299001003/0000936392-99-001003.txt,No '.htm' File Found
4962,10-q,1999-11-15,99751316,https://www.sec.gov/Archives/edgar/data/4962/000000496299000048/0000004962-99-000048.txt,No '.htm' File Found
4962,10-q,1999-08-16,99693318,https://www.sec.gov/Archives/edgar/data/4962/000000496299000034/0000004962-99-000034.txt,No '.htm' File Found
4962,10-q,1999-05-17,99624831,https://www.sec.gov/Archives/edgar/data/4962/0000004962-99-000020.txt,No '.htm' File Found
732712,10-q,1999-11-10,99745682,https://www.sec.gov/Archives/edgar/data/732712/000103605099002296/0001036050-99-002296.txt,No '.htm' File Found
732712,10-q,1999-08-11,99683887,https://www.sec.gov/Archives/edgar/data/732712/000103605099001679/0001036050-99-001679.txt,No '.htm' File Found
732712,10-q,1999-05-12,99618403,https://www.sec.gov/Archives/edgar/data/732712/0001036050-99-001035.txt,No '.htm' File Found
12927,10-q,1999-11-12,99750222,https://www.sec.gov/Archives/edgar/data/12927/000001292799000030/0000012927-99-000030.txt,No '.htm' File Found
12927,10-q,1999-08-12,99685625,https://www.sec.gov/Archives/edgar/data/12927/000001292799000022/0000012927-99-000022.txt,No '.htm' File Found
12927,10-q,1999-05-14,99622383,https://www.sec.gov/Archives/edgar/data/12927/0000012927-99-000017.txt,No '.htm' File Found
77476,10-q,1999-10-18,99729642,https://www.sec.gov/Archives/edgar/data/77476/000007747699000053/0000077476-99-000053.txt,No '.htm' File Found
77476,10-q,1999-07-26,99670048,https://www.sec.gov/Archives/edgar/data/77476/000007747699000047/0000077476-99-000047.txt,No '.htm' File Found
77476,10-q,1999-05-04,99610180,https://www.sec.gov/Archives/edgar/data/77476/0000077476-99-000026.txt,No '.htm' File Found
18230,10-q,1999-11-01,99738577,https://www.sec.gov/Archives/edgar/data/18230/000095013199005966/0000950131-99-005966-d1.html,All Good
18230,10-q,1999-08-13,99689350,https://www.sec.gov/Archives/edgar/data/18230/000095013199004925/0000950131-99-004925-d1.html,All Good
18230,10-q,1999-05-06,99611707,https://www.sec.gov/Archives/edgar/data/18230/0000018230-99-000020.txt,No '.htm' File Found
19617,10-q,1999-11-08,99743594,https://www.sec.gov/Archives/edgar/data/19617/000095012399009858/0000950123-99-009858.txt,No '.htm' File Found
19617,10-q,1999-08-16,99691341,https://www.sec.gov/Archives/edgar/data/19617/000095012399007718/0000950123-99-007718.txt,No '.htm' File Found
19617,10-q,1999-05-17,99627804,https://www.sec.gov/Archives/edgar/data/19617/0000950123-99-004856.txt,No '.htm' File Found
93410,10-q,1999-11-04,99741028,https://www.sec.gov/Archives/edgar/data/93410/000009341099000058/0000093410-99-000058.txt,No '.htm' File Found
93410,10-q/a,1999-08-05,99678506,https://www.sec.gov/Archives/edgar/data/93410/000009341099000046/0000093410-99-000046.txt,No '.htm' File Found
93410,10-q,1999-08-05,99678344,https://www.sec.gov/Archives/edgar/data/93410/000009341099000045/0000093410-99-000045.txt,No '.htm' File Found
93410,10-q,1999-05-06,99612236,https://www.sec.gov/Archives/edgar/data/93410/0000093410-99-000038.txt,No '.htm' File Found
21344,10-q,1999-11-03,99740355,https://www.sec.gov/Archives/edgar/data/21344/000002134499000026/0000021344-99-000026.txt,No '.htm' File Found
21344,10-q,1999-08-12,99685681,https://www.sec.gov/Archives/edgar/data/21344/000002134499000015/0000021344-99-000015.txt,No '.htm' File Found
21344,10-q,1999-05-12,99618211,https://www.sec.gov/Archives/edgar/data/21344/0000021344-99-000009.txt,No '.htm' File Found
1001039,10-q,1999-08-16,99692800,https://www.sec.gov/Archives/edgar/data/1001039/000100103999000016/0001001039-99-000016.txt,No '.htm' File Found
1001039,10-q,1999-05-17,99627301,https://www.sec.gov/Archives/edgar/data/1001039/0001001039-99-000011.txt,No '.htm' File Found
1001039,10-q/a,1999-04-12,99592015,https://www.sec.gov/Archives/edgar/data/1001039/0001001039-99-000008.txt,No '.htm' File Found
1001039,10-q,1999-02-16,99541809,https://www.sec.gov/Archives/edgar/data/1001039/0001001039-99-000004.txt,No '.htm' File Found
34088,10-q,1999-11-12,99748213,https://www.sec.gov/Archives/edgar/data/34088/000003408899000012/0000034088-99-000012.txt,No '.htm' File Found
34088,10-q,1999-08-13,99687984,https://www.sec.gov/Archives/edgar/data/34088/000003408899000005/0000034088-99-000005.txt,No '.htm' File Found
34088,10-q,1999-05-13,99619957,https://www.sec.gov/Archives/edgar/data/34088/0000034088-99-000004.txt,No '.htm' File Found
40545,10-q,1999-10-26,99734031,https://www.sec.gov/Archives/edgar/data/40545/000004054599000038/0000040545-99-000038.txt,No '.htm' File Found
40545,10-q,1999-08-11,99683807,https://www.sec.gov/Archives/edgar/data/40545/000004054599000023/0000040545-99-000023.txt,No '.htm' File Found
