cik,filing_type,date,film_number,download_link,status
1055726,10-q,2009-11-13,91182634,https://www.sec.gov/Archives/edgar/data/1055726/000110465909064979/a09-30818_110q.htm,All Good
1055726,10-q,2009-08-19,91024427,https://www.sec.gov/Archives/edgar/data/1055726/000110465909050590/a09-18452_110q.htm,All Good
1055726,10-q,2009-05-14,9827307,https://www.sec.gov/Archives/edgar/data/1055726/000110465909032542/a09-11027_110q.htm,All Good
4962,10-q,2009-10-30,91148490,https://www.sec.gov/Archives/edgar/data/4962/000119312509218953/d10q.htm,All Good
4962,10-q/a,2009-09-02,91051038,https://www.sec.gov/Archives/edgar/data/4962/000119312509186163/d10qa.htm,All Good
4962,10-q,2009-08-03,9980526,https://www.sec.gov/Archives/edgar/data/4962/000119312509162246/d10q.htm,All Good
4962,10-q,2009-05-01,9788580,https://www.sec.gov/Archives/edgar/data/4962/000110465909028486/a09-11386_110q.htm,All Good
732712,10-q,2009-10-29,91145077,https://www.sec.gov/Archives/edgar/data/732712/000119312509217506/d10q.htm,All Good
732712,10-q,2009-07-30,9974369,https://www.sec.gov/Archives/edgar/data/732712/000119312509159648/d10q.htm,All Good
732712,10-q,2009-05-11,9816027,https://www.sec.gov/Archives/edgar/data/732712/000119312509107317/d10q.htm,All Good
12927,10-q,2009-10-21,91129697,https://www.sec.gov/Archives/edgar/data/12927/000119312509210918/d10q.htm,All Good
12927,10-q,2009-07-22,9956633,https://www.sec.gov/Archives/edgar/data/12927/000119312509152905/d10q.htm,All Good
12927,10-q,2009-04-22,9763254,https://www.sec.gov/Archives/edgar/data/12927/000119312509084313/d10q.htm,All Good
77476,10-q,2009-10-08,91112212,https://www.sec.gov/Archives/edgar/data/77476/000119312509205617/d10q.htm,All Good
77476,10-q,2009-07-22,9957225,https://www.sec.gov/Archives/edgar/data/77476/000119312509153099/d10q.htm,All Good
77476,10-q,2009-04-22,9764185,https://www.sec.gov/Archives/edgar/data/77476/000119312509084604/d10q.htm,All Good
18230,10-q,2009-10-30,91147294,https://www.sec.gov/Archives/edgar/data/18230/000001823009000466/form10q_3q09.htm,All Good
18230,10-q/a,2009-08-12,91005881,https://www.sec.gov/Archives/edgar/data/18230/000001823009000331/form10q-a_2q09.htm,All Good
18230,10-q,2009-07-31,9976881,https://www.sec.gov/Archives/edgar/data/18230/000001823009000279/form10q_2q09.htm,All Good
18230,10-q,2009-05-01,9787908,https://www.sec.gov/Archives/edgar/data/18230/000001823009000175/form10q_1q09.htm,All Good
19617,10-q,2009-11-09,91168186,https://www.sec.gov/Archives/edgar/data/19617/000095012309060099/y78939e10vq.htm,All Good
19617,10-q,2009-08-10,9999689,https://www.sec.gov/Archives/edgar/data/19617/000095012309032832/y78644e10vq.htm,All Good
19617,10-q,2009-05-07,9806119,https://www.sec.gov/Archives/edgar/data/19617/000095012309008271/y76962e10vq.htm,All Good
93410,10-q,2009-11-05,91160100,https://www.sec.gov/Archives/edgar/data/93410/000095012309058120/f53312e10vq.htm,All Good
93410,10-q,2009-08-06,9990504,https://www.sec.gov/Archives/edgar/data/93410/000095012309030860/f53053e10vq.htm,All Good
93410,10-q,2009-05-07,9804115,https://www.sec.gov/Archives/edgar/data/93410/000089161809000166/f52062e10vq.htm,All Good
836147,10-q,2009-11-13,91179135,https://www.sec.gov/Archives/edgar/data/836147/000095012309062062/c92571e10vq.htm,All Good
836147,10-q,2009-08-14,91012524,https://www.sec.gov/Archives/edgar/data/836147/000095012309035036/c89350e10vq.htm,All Good
836147,10-q,2009-05-15,9829873,https://www.sec.gov/Archives/edgar/data/836147/000136231009007567/c85620e10vq.htm,All Good
21344,10-q/a,2009-10-29,91145505,https://www.sec.gov/Archives/edgar/data/21344/000104746909009321/a2195172z10-qa.htm,All Good
21344,10-q,2009-10-29,91144133,https://www.sec.gov/Archives/edgar/data/21344/000104746909009286/a2195110z10-q.htm,All Good
21344,10-q,2009-07-30,9972355,https://www.sec.gov/Archives/edgar/data/21344/000104746909007013/a2193827z10-q.htm,All Good
21344,10-q,2009-04-30,9782528,https://www.sec.gov/Archives/edgar/data/21344/000104746909004778/a2192560z10-q.htm,All Good
1001039,10-q,2009-07-30,9974465,https://www.sec.gov/Archives/edgar/data/1001039/000119312509159667/d10q.htm,All Good
1001039,10-q,2009-05-05,9798428,https://www.sec.gov/Archives/edgar/data/1001039/000119312509100081/d10q.htm,All Good
1001039,10-q,2009-02-03,9565816,https://www.sec.gov/Archives/edgar/data/1001039/000119312509017678/d10q.htm,All Good
34088,10-q,2009-11-05,91160716,https://www.sec.gov/Archives/edgar/data/34088/000119312509225285/d10q.htm,All Good
34088,10-q,2009-08-05,9987461,https://www.sec.gov/Archives/edgar/data/34088/000119312509165196/d10q.htm,All Good
34088,10-q,2009-05-05,9796102,https://www.sec.gov/Archives/edgar/data/34088/000003408809000039/r10q050509.htm,All Good
40545,10-q/a,2009-11-06,91163487,https://www.sec.gov/Archives/edgar/data/40545/000004054509000074/frm10q.htm,All Good
40545,10-q,2009-11-02,91151224,https://www.sec.gov/Archives/edgar/data/40545/000004054509000071/frm10q.htm,All Good
40545,10-q,2009-08-03,9978999,https://www.sec.gov/Archives/edgar/data/40545/000004054509000049/frm10q.htm,All Good
40545,10-q,2009-05-01,9790633,https://www.sec.gov/Archives/edgar/data/40545/000079746309000018/frm10q1q09.htm,All Good
47217,10-q/a,2009-09-08,91056971,https://www.sec.gov/Archives/edgar/data/47217/000104746909008166/a2194478z10-qa.htm,All Good
47217,10-q,2009-09-04,91056796,https://www.sec.gov/Archives/edgar/data/47217/000104746909008160/a2194317z10-q.htm,All Good
47217,10-q,2009-06-05,9877519,https://www.sec.gov/Archives/edgar/data/47217/000104746909006186/a2193216z10-q.htm,All Good
47217,10-q,2009-03-10,9670424,https://www.sec.gov/Archives/edgar/data/47217/000104746909002433/a2190921z10-q.htm,All Good
886206,10-q,2009-07-09,9937514,https://www.sec.gov/Archives/edgar/data/886206/000088620609000026/form10q_070907.htm,All Good
886206,10-q,2009-04-09,9743311,https://www.sec.gov/Archives/edgar/data/886206/000088620609000018/form10q_040909.htm,All Good
886206,10-q,2009-01-13,9524766,https://www.sec.gov/Archives/edgar/data/886206/000088620609000006/form10q_011309.htm,All Good
354950,10-q,2009-12-03,91220312,https://www.sec.gov/Archives/edgar/data/354950/000119312509246720/d10q.htm,All Good
354950,10-q,2009-09-03,91053930,https://www.sec.gov/Archives/edgar/data/354950/000095012309040859/g19858e10vq.htm,All Good
354950,10-q,2009-06-04,9872985,https://www.sec.gov/Archives/edgar/data/354950/000095012309011236/g19333e10vq.htm,All Good
51143,10-q,2009-10-27,91138827,https://www.sec.gov/Archives/edgar/data/51143/000110465909060554/a09-26663_110q.htm,All Good
