cik,filing_type,date,film_number,download_link,status
1055726,10-q,2000-11-09,757610,https://www.sec.gov/Archives/edgar/data/1055726/000109581100004495/a66999e10-q.txt,All Good
1055726,10-q,2000-08-14,695737,https://www.sec.gov/Archives/edgar/data/1055726/000109581100002708/e10-q.txt,All Good
1055726,10-q,2000-02-10,530891,https://www.sec.gov/Archives/edgar/data/1055726/000109581100000168/0001095811-00-000168.txt,No '.htm' File Found
4962,10-q,2000-11-13,762442,https://www.sec.gov/Archives/edgar/data/4962/000000496200500022/amex.txt,All Good
4962,10-q,2000-08-11,694670,https://www.sec.gov/Archives/edgar/data/4962/000000496200500007/amexdoc.txt,All Good
4962,10-q,2000-05-15,635812,https://www.sec.gov/Archives/edgar/data/4962/000000496200000037/0000004962-00-000037.txt,No '.htm' File Found
732712,10-q,2000-11-14,767024,https://www.sec.gov/Archives/edgar/data/732712/000095013400009772/d81505e10-q.txt,All Good
732712,10-q,2000-08-14,700533,https://www.sec.gov/Archives/edgar/data/732712/000095013400007067/e10-q.txt,All Good
732712,10-q,2000-05-12,629107,https://www.sec.gov/Archives/edgar/data/732712/000095010900002156/0000950109-00-002156.txt,No '.htm' File Found
12927,10-q,2000-11-06,753777,https://www.sec.gov/Archives/edgar/data/12927/000001292700000009/0000012927-00-000009-0001.txt,All Good
12927,10-q,2000-08-02,684730,https://www.sec.gov/Archives/edgar/data/12927/000001292700000007/0000012927-00-000007-0001.txt,All Good
12927,10-q,2000-05-12,627013,https://www.sec.gov/Archives/edgar/data/12927/000001292700000005/0000012927-00-000005.txt,No '.htm' File Found
77476,10-q,2000-10-11,738131,https://www.sec.gov/Archives/edgar/data/77476/000007747600000037/0000077476-00-000037-0001.htm,All Good
77476,10-q,2000-07-20,676110,https://www.sec.gov/Archives/edgar/data/77476/000007747600000032/0000077476-00-000032-0001.htm,All Good
77476,10-q,2000-04-26,608857,https://www.sec.gov/Archives/edgar/data/77476/000007747600000013/0000077476-00-000013.txt,No '.htm' File Found
18230,10-q,2000-11-14,763128,https://www.sec.gov/Archives/edgar/data/18230/000001823000500025/thirdquarter.htm,All Good
18230,10-q,2000-08-11,695185,https://www.sec.gov/Archives/edgar/data/18230/000091205700036715/a10-q.htm,All Good
18230,10-q,2000-05-10,625183,https://www.sec.gov/Archives/edgar/data/18230/000095013100003227/0000950131-00-003227-d1.html,All Good
19617,10-q,2000-11-14,769174,https://www.sec.gov/Archives/edgar/data/19617/000095012300010650/y42654e10-q.txt,All Good
