cik,filing_type,date,film_number,download_link,status
1055726,10-q,2001-11-16,1794261,https://www.sec.gov/Archives/edgar/data/1055726/000093639201500297/a76892e10-q.htm,All Good
1055726,10-q,2001-08-09,1702273,https://www.sec.gov/Archives/edgar/data/1055726/000109581101503846/a74860e10-q.htm,All Good
1055726,10-q,2001-02-12,1534796,https://www.sec.gov/Archives/edgar/data/1055726/000109581101001046/a69455e10-q.txt,All Good
1055726,10-q/a,2001-01-11,1507001,https://www.sec.gov/Archives/edgar/data/1055726/000109581101000156/a68485a1e10-qa.txt,All Good
4962,10-q,2001-11-14,1785691,https://www.sec.gov/Archives/edgar/data/4962/000000496201500063/septemberq.txt,All Good
4962,10-q,2001-08-14,1714301,https://www.sec.gov/Archives/edgar/data/4962/000000496201500055/axp_2nd10-q.txt,All Good
4962,10-q,2001-05-15,1636514,https://www.sec.gov/Archives/edgar/data/4962/000000496201500034/axp_10q.txt,All Good
732712,10-q,2001-11-14,1791283,https://www.sec.gov/Archives/edgar/data/732712/000095013401508652/d92112e10-q.txt,All Good
732712,10-q,2001-08-14,1710422,https://www.sec.gov/Archives/edgar/data/732712/000095013401505380/d89821e10-q.txt,All Good
732712,10-q,2001-05-15,1634507,https://www.sec.gov/Archives/edgar/data/732712/000095013401501758/d87215e10-q.txt,All Good
12927,10-q,2001-10-25,1766686,https://www.sec.gov/Archives/edgar/data/12927/000001292701500012/b-q0901.txt,All Good
12927,10-q,2001-08-09,1701430,https://www.sec.gov/Archives/edgar/data/12927/000001292701500009/b-q0601.txt,All Good
12927,10-q,2001-05-08,1625240,https://www.sec.gov/Archives/edgar/data/12927/000001292701500005/q0301doc.txt,All Good
77476,10-q,2001-10-17,1760834,https://www.sec.gov/Archives/edgar/data/77476/000007747601500103/form10q301.htm,All Good
77476,10-q,2001-07-26,1689525,https://www.sec.gov/Archives/edgar/data/77476/000007747601500062/form10q201.htm,All Good
77476,10-q,2001-05-02,1619678,https://www.sec.gov/Archives/edgar/data/77476/000007747601500046/q10.htm,All Good
18230,10-q,2001-11-01,1772714,https://www.sec.gov/Archives/edgar/data/18230/000001823001500098/form10q3q2001.htm,All Good
18230,10-q,2001-08-09,1701625,https://www.sec.gov/Archives/edgar/data/18230/000001823001500073/form10q2q2001.htm,All Good
18230,10-q,2001-05-01,1618584,https://www.sec.gov/Archives/edgar/data/18230/000001823001500042/tenq1stqtr.htm,All Good
19617,10-q,2001-11-14,1788924,https://www.sec.gov/Archives/edgar/data/19617/000095012301508483/y54924e10-q.htm,All Good
19617,10-q,2001-08-14,1711983,https://www.sec.gov/Archives/edgar/data/19617/000095012301505613/y52362e10-q.txt,All Good
19617,10-q,2001-05-15,1639328,https://www.sec.gov/Archives/edgar/data/19617/000095012301502582/y49235e10-q.txt,All Good
93410,10-q,2001-11-13,1784290,https://www.sec.gov/Archives/edgar/data/93410/000009341001500018/q30110q.txt,All Good
93410,10-q/a,2001-08-09,1702407,https://www.sec.gov/Archives/edgar/data/93410/000009341001500008/q20110q.txt,All Good
93410,10-q,2001-08-09,1702321,https://www.sec.gov/Archives/edgar/data/93410/000009341001500007/q20110q.txt,All Good
93410,10-q,2001-05-11,1630616,https://www.sec.gov/Archives/edgar/data/93410/000009341001500004/chv10q.txt,All Good
836147,10-q/a,2001-11-14,1788767,https://www.sec.gov/Archives/edgar/data/836147/000095012801500698/j9133002e10-qa.txt,All Good
