cik,filing_type,date,film_number,download_link,status
1055726,10-q,2004-11-15,41141142,https://www.sec.gov/Archives/edgar/data/1055726/000110465904035708/a04-13481_110q.htm,All Good
1055726,10-q,2004-08-13,4975536,https://www.sec.gov/Archives/edgar/data/1055726/000110465904024409/a04-9385_110q.htm,All Good
1055726,10-q,2004-05-13,4802519,https://www.sec.gov/Archives/edgar/data/1055726/000110465904014272/a04-5813_110q.htm,All Good
4962,10-q,2004-11-08,41126293,https://www.sec.gov/Archives/edgar/data/4962/000000496204000203/axp10q3q04nov8.txt,All Good
4962,10-q,2004-07-30,4940866,https://www.sec.gov/Archives/edgar/data/4962/000000496204000162/axp10qtr.txt,All Good
4962,10-q,2004-05-10,4793715,https://www.sec.gov/Archives/edgar/data/4962/000000496204000131/axp10q.txt,All Good
732712,10-q,2004-11-08,41126666,https://www.sec.gov/Archives/edgar/data/732712/000119312504189657/d10q.htm,All Good
732712,10-q,2004-08-06,4957337,https://www.sec.gov/Archives/edgar/data/732712/000119312504134114/d10q.htm,All Good
732712,10-q,2004-05-07,4788007,https://www.sec.gov/Archives/edgar/data/732712/000119312504081774/d10q.htm,All Good
12927,10-q,2004-10-27,41099768,https://www.sec.gov/Archives/edgar/data/12927/000119312504179383/d10q.htm,All Good
12927,10-q,2004-07-28,4936807,https://www.sec.gov/Archives/edgar/data/12927/000119312504126399/d10q.htm,All Good
12927,10-q,2004-04-28,4761611,https://www.sec.gov/Archives/edgar/data/12927/000119312504072412/d10q.htm,All Good
77476,10-q,2004-10-01,41058874,https://www.sec.gov/Archives/edgar/data/77476/000119312504165608/d10q.htm,All Good
77476,10-q,2004-07-15,4916421,https://www.sec.gov/Archives/edgar/data/77476/000119312504118980/d10q.htm,All Good
77476,10-q,2004-04-22,4746426,https://www.sec.gov/Archives/edgar/data/77476/000119312504066704/d10q.htm,All Good
18230,10-q,2004-11-08,41125437,https://www.sec.gov/Archives/edgar/data/18230/000001823004000634/form10q_3q04.htm,All Good
18230,10-q,2004-08-09,4960691,https://www.sec.gov/Archives/edgar/data/18230/000001823004000492/form10q_2q04.htm,All Good
18230,10-q,2004-05-10,4793500,https://www.sec.gov/Archives/edgar/data/18230/000001823004000302/form1q_1q04.htm,All Good
19617,10-q,2004-11-09,41130017,https://www.sec.gov/Archives/edgar/data/19617/000095012304013301/y68469e10vq.htm,All Good
19617,10-q,2004-08-09,4962056,https://www.sec.gov/Archives/edgar/data/19617/000095012304009466/y99772e10vq.htm,All Good
19617,10-q,2004-05-10,4793555,https://www.sec.gov/Archives/edgar/data/19617/000095012304006069/y96921e10vq.htm,All Good
93410,10-q,2004-11-03,41114819,https://www.sec.gov/Archives/edgar/data/93410/000095013404016230/f02658e10vq.htm,All Good
93410,10-q,2004-08-04,4949902,https://www.sec.gov/Archives/edgar/data/93410/000095013404011227/f00715e10vq.htm,All Good
93410,10-q,2004-05-07,4786864,https://www.sec.gov/Archives/edgar/data/93410/000095014904000945/f98722e10vq.htm,All Good
836147,10-q,2004-11-15,41143724,https://www.sec.gov/Archives/edgar/data/836147/000095015204008330/l09972ae10vq.htm,All Good
836147,10-q,2004-08-12,4969057,https://www.sec.gov/Archives/edgar/data/836147/000095015204006162/l08659ae10vq.htm,All Good
836147,10-q,2004-05-13,4802377,https://www.sec.gov/Archives/edgar/data/836147/000095015204003948/l06938ae10vq.txt,All Good
21344,10-q,2004-10-28,41101275,https://www.sec.gov/Archives/edgar/data/21344/000104746904032333/a2144977z10-q.htm,All Good
21344,10-q,2004-08-05,4954181,https://www.sec.gov/Archives/edgar/data/21344/000104746904025463/a2140656z10-q.htm,All Good
21344,10-q,2004-04-29,4762893,https://www.sec.gov/Archives/edgar/data/21344/000104746904014222/a2133556z10-q.htm,All Good
1001039,10-q,2004-08-10,4965231,https://www.sec.gov/Archives/edgar/data/1001039/000095012904005896/v01083e10vq.htm,All Good
1001039,10-q,2004-05-13,4801025,https://www.sec.gov/Archives/edgar/data/1001039/000095012904003214/v98933e10vq.htm,All Good
1001039,10-q,2004-02-11,4587252,https://www.sec.gov/Archives/edgar/data/1001039/000095014804000250/v96415e10vq.htm,All Good
34088,10-q,2004-11-08,41124509,https://www.sec.gov/Archives/edgar/data/34088/000003408804000250/r10q110804.htm,All Good
34088,10-q,2004-08-06,4956431,https://www.sec.gov/Archives/edgar/data/34088/000003408804000163/r10q080604.htm,All Good
34088,10-q,2004-05-07,4787532,https://www.sec.gov/Archives/edgar/data/34088/000003408804000092/r10q050704.htm,All Good
40545,10-q,2004-10-26,41095453,https://www.sec.gov/Archives/edgar/data/40545/000004054504000045/ge3q04_10q.htm,All Good
40545,10-q,2004-07-30,4941444,https://www.sec.gov/Archives/edgar/data/40545/000004054504000036/ge2q04.htm,All Good
40545,10-q,2004-05-04,4777893,https://www.sec.gov/Archives/edgar/data/40545/000004054504000019/mar04_10q.htm,All Good
47217,10-q,2004-09-10,41025861,https://www.sec.gov/Archives/edgar/data/47217/000104746904028470/a2142989z10-q.htm,All Good
47217,10-q,2004-06-09,4856472,https://www.sec.gov/Archives/edgar/data/47217/000104746904019957/a2137541z10-q.htm,All Good
47217,10-q,2004-03-11,4663603,https://www.sec.gov/Archives/edgar/data/47217/000104746904007523/a2130012z10-q.htm,All Good
886206,10-q,2004-07-13,4912220,https://www.sec.gov/Archives/edgar/data/886206/000088620604000031/q3fy2004form10q.htm,All Good
886206,10-q,2004-04-13,4730666,https://www.sec.gov/Archives/edgar/data/886206/000088620604000025/form10qfy042q.htm,All Good
886206,10-q,2004-01-13,4522947,https://www.sec.gov/Archives/edgar/data/886206/000088620604000004/q1form10q011304.htm,All Good
354950,10-q,2004-12-02,41180440,https://www.sec.gov/Archives/edgar/data/354950/000104746904035922/a2147677z10-q.htm,All Good
354950,10-q,2004-09-02,41014298,https://www.sec.gov/Archives/edgar/data/354950/000104746904027899/a2142954z10-q.htm,All Good
354950,10-q,2004-06-04,4850138,https://www.sec.gov/Archives/edgar/data/354950/000104746904019410/a2137781z10-q.htm,All Good
51143,10-q/a,2004-11-01,41110374,https://www.sec.gov/Archives/edgar/data/51143/000110465904032863/a04-12261_210qa.htm,All Good
51143,10-q,2004-10-28,41103289,https://www.sec.gov/Archives/edgar/data/51143/000110465904032411/a04-12261_110q.htm,All Good
51143,10-q,2004-07-30,4941824,https://www.sec.gov/Archives/edgar/data/51143/000110465904021678/a04-7971_110q.htm,All Good
51143,10-q,2004-05-07,4790341,https://www.sec.gov/Archives/edgar/data/51143/000110465904013278/a04-5397_110q.htm,All Good
200406,10-q,2004-11-03,41115624,https://www.sec.gov/Archives/edgar/data/200406/000020040604000134/tenq.txt,All Good
200406,10-q,2004-08-03,4947268,https://www.sec.gov/Archives/edgar/data/200406/000020040604000106/secondquartertenq.txt,All Good
200406,10-q,2004-05-05,4780324,https://www.sec.gov/Archives/edgar/data/200406/000020040604000081/firstquartertenq.txt,All Good
63908,10-q,2004-11-05,41121508,https://www.sec.gov/Archives/edgar/data/63908/000119312504187329/d10q.htm,All Good
63908,10-q,2004-08-06,4956290,https://www.sec.gov/Archives/edgar/data/63908/000119312504133629/d10q.htm,All Good
63908,10-q,2004-05-06,4783909,https://www.sec.gov/Archives/edgar/data/63908/000119312504080237/d10q.htm,All Good
310158,10-q,2004-10-28,41103235,https://www.sec.gov/Archives/edgar/data/310158/000095012304012647/y67941e10vq.txt,All Good
310158,10-q,2004-08-03,4949392,https://www.sec.gov/Archives/edgar/data/310158/000095012304009184/y99638e10vq.txt,All Good
310158,10-q,2004-04-28,4760576,https://www.sec.gov/Archives/edgar/data/310158/000095012304005315/y96677e10vq.htm,All Good
66740,10-q,2004-11-01,41110443,https://www.sec.gov/Archives/edgar/data/66740/000110465904032871/a04-12304_110q.htm,All Good
66740,10-q,2004-08-04,4952485,https://www.sec.gov/Archives/edgar/data/66740/000089710104001496/mmm043703_10q.htm,All Good
66740,10-q,2004-05-04,4778059,https://www.sec.gov/Archives/edgar/data/66740/000089710104000884/mmm042296_10q.htm,All Good
70858,10-q,2004-11-09,41127970,https://www.sec.gov/Archives/edgar/data/70858/000119312504190704/d10q.htm,All Good
70858,10-q,2004-08-09,4959528,https://www.sec.gov/Archives/edgar/data/70858/000119312504135155/d10q.htm,All Good
70858,10-q,2004-05-07,4789875,https://www.sec.gov/Archives/edgar/data/70858/000119312504082233/d10q.htm,All Good
78003,10-q,2004-11-05,41123490,https://www.sec.gov/Archives/edgar/data/78003/000007800304000338/q3-04pfe1.htm,All Good
78003,10-q,2004-08-06,4958059,https://www.sec.gov/Archives/edgar/data/78003/000007800304000242/q2-04pfe1.htm,All Good
78003,10-q,2004-05-07,4789067,https://www.sec.gov/Archives/edgar/data/78003/000007800304000132/q1-04pfe1.htm,All Good
80424,10-q,2004-10-28,41103361,https://www.sec.gov/Archives/edgar/data/80424/000008042404000195/jjas04.txt,All Good
80424,10-q,2004-04-30,4768909,https://www.sec.gov/Archives/edgar/data/80424/000008042404000075/jfm04.txt,All Good
80424,10-q,2004-02-03,4563082,https://www.sec.gov/Archives/edgar/data/80424/000008042404000025/ond0310q.txt,All Good
732717,10-q,2004-11-05,41122507,https://www.sec.gov/Archives/edgar/data/732717/000073271704000664/q304.htm,All Good
732717,10-q,2004-08-05,4954405,https://www.sec.gov/Archives/edgar/data/732717/000073271704000525/q204.htm,All Good
732717,10-q,2004-05-06,4785464,https://www.sec.gov/Archives/edgar/data/732717/000073271704000346/q104.htm,All Good
86312,10-q,2004-11-09,41127328,https://www.sec.gov/Archives/edgar/data/86312/000110465904034414/a04-12472_110q.htm,All Good
86312,10-q,2004-08-09,4961649,https://www.sec.gov/Archives/edgar/data/86312/000110465904023388/a04-9084_110q.htm,All Good
86312,10-q,2004-05-10,4793399,https://www.sec.gov/Archives/edgar/data/86312/000110465904013566/a04-5392_110q.htm,All Good
101829,10-q,2004-10-27,41100213,https://www.sec.gov/Archives/edgar/data/101829/000119312504179470/d10q.htm,All Good
