cik,filing_type,date,film_number,download_link,status
354950,10-q,2013-11-27,131245662,https://www.sec.gov/Archives/edgar/data/354950/000035495013000047/hd_10qx11032013.htm,All Good
354950,10-q,2013-08-28,131065972,https://www.sec.gov/Archives/edgar/data/354950/000035495013000032/hd_10qx08042013.htm,All Good
354950,10-q,2013-05-29,13878397,https://www.sec.gov/Archives/edgar/data/354950/000035495013000015/hd_10qx05052013.htm,All Good
51143,10-q,2013-10-29,131176934,https://www.sec.gov/Archives/edgar/data/51143/000005114313000007/ibm13q3_10q.htm,All Good
51143,10-q,2013-07-31,13997308,https://www.sec.gov/Archives/edgar/data/51143/000110465913058041/a13-13617_110q.htm,All Good
51143,10-q,2013-04-30,13796502,https://www.sec.gov/Archives/edgar/data/51143/000110465913035106/a13-7778_110q.htm,All Good
200406,10-q,2013-11-04,131189615,https://www.sec.gov/Archives/edgar/data/200406/000020040613000112/a3q10q9-29x13.htm,All Good
200406,10-q,2013-08-01,131003154,https://www.sec.gov/Archives/edgar/data/200406/000020040613000091/a2q10q6-30x13.htm,All Good
200406,10-q,2013-05-03,13812638,https://www.sec.gov/Archives/edgar/data/200406/000020040613000057/a1q10q3-31x13.htm,All Good
63908,10-q,2013-10-30,131178017,https://www.sec.gov/Archives/edgar/data/63908/000006390813000076/mcd-9302013x10q.htm,All Good
63908,10-q,2013-07-31,13997968,https://www.sec.gov/Archives/edgar/data/63908/000006390813000060/mcd-6302013x10q.htm,All Good
63908,10-q,2013-05-01,13801902,https://www.sec.gov/Archives/edgar/data/63908/000006390813000028/mcd-3312013x10q.htm,All Good
310158,10-q,2013-11-07,131201424,https://www.sec.gov/Archives/edgar/data/310158/000031015813000011/mrk0930201310q.htm,All Good
310158,10-q,2013-08-07,131018782,https://www.sec.gov/Archives/edgar/data/310158/000031015813000004/mrk0630201310q.htm,All Good
310158,10-q,2013-05-09,13829805,https://www.sec.gov/Archives/edgar/data/310158/000119312513211374/d508920d10q.htm,All Good
66740,10-q,2013-10-31,131181756,https://www.sec.gov/Archives/edgar/data/66740/000110465913079583/a13-19634_110q.htm,All Good
66740,10-q,2013-08-01,131002905,https://www.sec.gov/Archives/edgar/data/66740/000110465913058961/a13-13757_110q.htm,All Good
66740,10-q,2013-05-02,13807841,https://www.sec.gov/Archives/edgar/data/66740/000110465913036580/a13-8437_110q.htm,All Good
70858,10-q,2013-10-30,131180221,https://www.sec.gov/Archives/edgar/data/70858/000007085813000248/bac-9302013x10q.htm,All Good
70858,10-q,2013-08-01,131003079,https://www.sec.gov/Archives/edgar/data/70858/000007085813000216/bac-6302013x10q.htm,All Good
70858,10-q,2013-05-07,13821210,https://www.sec.gov/Archives/edgar/data/70858/000007085813000147/bac-3312013x10q.htm,All Good
1366868,10-q,2013-11-14,131217854,https://www.sec.gov/Archives/edgar/data/1366868/000114420413061483/v358964_10q.htm,All Good
1366868,10-q,2013-08-14,131039821,https://www.sec.gov/Archives/edgar/data/1366868/000114420413046100/v351435_10q.htm,All Good
1366868,10-q,2013-05-10,13830787,https://www.sec.gov/Archives/edgar/data/1366868/000114420413027603/v343630_10q.htm,All Good
1366868,10-q/a,2013-04-09,13751388,https://www.sec.gov/Archives/edgar/data/1366868/000114420413020862/v340859_10qa.htm,All Good
78003,10-q,2013-11-08,131204545,https://www.sec.gov/Archives/edgar/data/78003/000007800313000029/pfe-9292013x10q.htm,All Good
78003,10-q,2013-08-09,131027262,https://www.sec.gov/Archives/edgar/data/78003/000007800313000017/pfe-6302013x10q.htm,All Good
78003,10-q,2013-05-10,13830760,https://www.sec.gov/Archives/edgar/data/78003/000007800313000013/pfe-3312013x10q.htm,All Good
80424,10-q,2013-10-25,131170886,https://www.sec.gov/Archives/edgar/data/80424/000008042413000089/jas13quarterlyreport.htm,All Good
80424,10-q,2013-04-24,13779361,https://www.sec.gov/Archives/edgar/data/80424/000008042413000033/jfm13quarterlyreport.htm,All Good
80424,10-q,2013-01-25,13548795,https://www.sec.gov/Archives/edgar/data/80424/000008042413000012/ond12quarterlyreport.htm,All Good
732717,10-q,2013-11-01,131186483,https://www.sec.gov/Archives/edgar/data/732717/000073271713000099/q3_10q.htm,All Good
732717,10-q,2013-08-02,131006593,https://www.sec.gov/Archives/edgar/data/732717/000073271713000080/q2_10q.htm,All Good
732717,10-q,2013-05-03,13812582,https://www.sec.gov/Archives/edgar/data/732717/000073271713000036/q1_10q.htm,All Good
86312,10-q,2013-10-22,131162580,https://www.sec.gov/Archives/edgar/data/86312/000110465913076858/a13-19823_110q.htm,All Good
86312,10-q,2013-07-23,13980293,https://www.sec.gov/Archives/edgar/data/86312/000110465913055745/a13-14006_110q.htm,All Good
