cik,filing_type,date,film_number,download_link,status
1055726,10-q,2014-11-10,141206115,https://www.sec.gov/Archives/edgar/data/1055726/000105572614000013/ino-93014x10q.htm,All Good
1055726,10-q,2014-08-11,141028515,https://www.sec.gov/Archives/edgar/data/1055726/000105572614000010/ino-63014x10q.htm,All Good
1055726,10-q,2014-05-12,14830658,https://www.sec.gov/Archives/edgar/data/1055726/000105572614000006/ino-33114x10q.htm,All Good
4962,10-q,2014-10-28,141177108,https://www.sec.gov/Archives/edgar/data/4962/000119312514384990/d808273d10q.htm,All Good
4962,10-q,2014-07-30,141003157,https://www.sec.gov/Archives/edgar/data/4962/000119312514286961/d762725d10q.htm,All Good
4962,10-q,2014-04-29,14793830,https://www.sec.gov/Archives/edgar/data/4962/000119312514167067/d714342d10q.htm,All Good
732712,10-q,2014-10-28,141176271,https://www.sec.gov/Archives/edgar/data/732712/000119312514384533/d787433d10q.htm,All Good
732712,10-q,2014-07-29,14999279,https://www.sec.gov/Archives/edgar/data/732712/000119312514284281/d741984d10q.htm,All Good
732712,10-q,2014-04-29,14793166,https://www.sec.gov/Archives/edgar/data/732712/000119312514166563/d692729d10q.htm,All Good
1132105,10-q,2014-12-05,141267965,https://www.sec.gov/Archives/edgar/data/1132105/000156459014006066/spwh-10q_20141101.htm,All Good
1132105,10-q,2014-09-12,141099748,https://www.sec.gov/Archives/edgar/data/1132105/000156459014004073/spwh-10q_20140802.htm,All Good
1132105,10-q,2014-06-11,14903650,https://www.sec.gov/Archives/edgar/data/1132105/000156459014002452/spwh-10q_20140503.htm,All Good
12927,10-q,2014-10-22,141167280,https://www.sec.gov/Archives/edgar/data/12927/000001292714000057/a201409sep3010q.htm,All Good
12927,10-q,2014-07-23,14988337,https://www.sec.gov/Archives/edgar/data/12927/000001292714000042/a201406jun3010q.htm,All Good
12927,10-q,2014-04-23,14778437,https://www.sec.gov/Archives/edgar/data/12927/000001292714000022/a201403mar3110q.htm,All Good
1597033,10-q,2014-11-12,141211227,https://www.sec.gov/Archives/edgar/data/1597033/000156459014005478/sabr-10q_20140930.htm,All Good
1597033,10-q,2014-08-07,141024519,https://www.sec.gov/Archives/edgar/data/1597033/000156459014003332/sabr-10q_20140630.htm,All Good
