cik,filing_type,date,film_number,download_link,status
1055726,10-q,2011-11-07,111182805,https://www.sec.gov/Archives/edgar/data/1055726/000119312511298587/d237108d10q.htm,All Good
1055726,10-q,2011-08-05,111014414,https://www.sec.gov/Archives/edgar/data/1055726/000119312511212333/d10q.htm,All Good
1055726,10-q,2011-05-10,11828383,https://www.sec.gov/Archives/edgar/data/1055726/000119312511134218/d10q.htm,All Good
4962,10-q,2011-11-02,111175384,https://www.sec.gov/Archives/edgar/data/4962/000095012311094420/y93235e10vq.htm,All Good
4962,10-q,2011-08-03,111007391,https://www.sec.gov/Archives/edgar/data/4962/000095012311072260/y92008te10vq.htm,All Good
4962,10-q,2011-05-04,11809404,https://www.sec.gov/Archives/edgar/data/4962/000095012311044479/y90330te10vq.htm,All Good
732712,10-q,2011-10-25,111157206,https://www.sec.gov/Archives/edgar/data/732712/000119312511280401/d233490d10q.htm,All Good
732712,10-q,2011-07-28,11994453,https://www.sec.gov/Archives/edgar/data/732712/000119312511201011/d10q.htm,All Good
732712,10-q,2011-04-28,11786538,https://www.sec.gov/Archives/edgar/data/732712/000119312511113952/d10q.htm,All Good
12927,10-q,2011-10-26,111158442,https://www.sec.gov/Archives/edgar/data/12927/000119312511281613/d228887d10q.htm,All Good
12927,10-q,2011-07-27,11989405,https://www.sec.gov/Archives/edgar/data/12927/000119312511198584/d10q.htm,All Good
12927,10-q,2011-04-27,11782604,https://www.sec.gov/Archives/edgar/data/12927/000119312511111215/d10q.htm,All Good
77476,10-q,2011-10-12,111137738,https://www.sec.gov/Archives/edgar/data/77476/000119312511269425/d219776d10q.htm,All Good
77476,10-q,2011-07-21,11978841,https://www.sec.gov/Archives/edgar/data/77476/000119312511193147/d10q.htm,All Good
77476,10-q,2011-04-28,11785889,https://www.sec.gov/Archives/edgar/data/77476/000119312511113679/d10q.htm,All Good
18230,10-q,2011-11-04,111180168,https://www.sec.gov/Archives/edgar/data/18230/000110465911060986/a11-24831_110q.htm,All Good
18230,10-q,2011-08-04,111009581,https://www.sec.gov/Archives/edgar/data/18230/000110465911043575/a11-14917_110q.htm,All Good
18230,10-q,2011-05-09,11824099,https://www.sec.gov/Archives/edgar/data/18230/000110465911027403/a11-9229_110q.htm,All Good
19617,10-q,2011-11-04,111180871,https://www.sec.gov/Archives/edgar/data/19617/000001961711000264/corpq32011.htm,All Good
19617,10-q,2011-08-05,111013761,https://www.sec.gov/Archives/edgar/data/19617/000119312511212045/d10q.htm,All Good
19617,10-q,2011-05-06,11816483,https://www.sec.gov/Archives/edgar/data/19617/000095012311045948/y90414e10vq.htm,All Good
93410,10-q,2011-11-03,111176555,https://www.sec.gov/Archives/edgar/data/93410/000119312511294378/d241403d10q.htm,All Good
93410,10-q,2011-08-04,111009266,https://www.sec.gov/Archives/edgar/data/93410/000095012311072688/f59221e10vq.htm,All Good
93410,10-q,2011-05-05,11813339,https://www.sec.gov/Archives/edgar/data/93410/000095012311045356/f58560e10vq.htm,All Good
836147,10-q,2011-11-10,111194707,https://www.sec.gov/Archives/edgar/data/836147/000095012311097465/c24303e10vq.htm,All Good
836147,10-q,2011-08-11,111026342,https://www.sec.gov/Archives/edgar/data/836147/000095012311075942/c19124e10vq.htm,All Good
836147,10-q,2011-05-16,11844515,https://www.sec.gov/Archives/edgar/data/836147/000095012311050497/c17329e10vq.htm,All Good
21344,10-q,2011-10-27,111160977,https://www.sec.gov/Archives/edgar/data/21344/000002134411000011/a2011930-10q.htm,All Good
21344,10-q,2011-08-01,11999687,https://www.sec.gov/Archives/edgar/data/21344/000104746911006790/a2204930z10-q.htm,All Good
21344,10-q,2011-05-02,11798889,https://www.sec.gov/Archives/edgar/data/21344/000104746911004348/a2203597z10-q.htm,All Good
1001039,10-q,2011-08-09,111021683,https://www.sec.gov/Archives/edgar/data/1001039/000119312511216691/d10q.htm,All Good
1001039,10-q,2011-05-10,11829215,https://www.sec.gov/Archives/edgar/data/1001039/000119312511134405/d10q.htm,All Good
1001039,10-q,2011-02-08,11583491,https://www.sec.gov/Archives/edgar/data/1001039/000119312511027450/d10q.htm,All Good
34088,10-q,2011-11-03,111176609,https://www.sec.gov/Archives/edgar/data/34088/000119312511294424/d232655d10q.htm,All Good
34088,10-q,2011-08-04,111009565,https://www.sec.gov/Archives/edgar/data/34088/000119312511209772/d10q.htm,All Good
34088,10-q,2011-05-05,11813598,https://www.sec.gov/Archives/edgar/data/34088/000119312511127973/d10q.htm,All Good
40545,10-q,2011-11-08,111185804,https://www.sec.gov/Archives/edgar/data/40545/000004054511000058/form10q.htm,All Good
40545,10-q,2011-07-29,11997881,https://www.sec.gov/Archives/edgar/data/40545/000004054511000047/form10q.htm,All Good
40545,10-q,2011-05-06,11819499,https://www.sec.gov/Archives/edgar/data/40545/000004054511000032/form10q.htm,All Good
47217,10-q,2011-09-09,111084069,https://www.sec.gov/Archives/edgar/data/47217/000104746911007947/a2205371z10-q.htm,All Good
47217,10-q,2011-06-08,11901603,https://www.sec.gov/Archives/edgar/data/47217/000104746911005755/a2204286z10-q.htm,All Good
47217,10-q,2011-03-11,11680084,https://www.sec.gov/Archives/edgar/data/47217/000104746911002006/a2202283z10-q.htm,All Good
886206,10-q,2011-07-07,11955726,https://www.sec.gov/Archives/edgar/data/886206/000088620611000024/form10q_05282011.htm,All Good
886206,10-q,2011-04-07,11746768,https://www.sec.gov/Archives/edgar/data/886206/000088620611000018/form10q_022611.htm,All Good
886206,10-q,2011-01-06,11514552,https://www.sec.gov/Archives/edgar/data/886206/000088620611000004/form10q_01062011.htm,All Good
354950,10-q,2011-11-29,111231445,https://www.sec.gov/Archives/edgar/data/354950/000035495011000005/hd_10qx10302011.htm,All Good
354950,10-q,2011-09-01,111071261,https://www.sec.gov/Archives/edgar/data/354950/000119312511239167/d10q.htm,All Good
354950,10-q,2011-06-02,11888665,https://www.sec.gov/Archives/edgar/data/354950/000119312511157199/d10q.htm,All Good
51143,10-q,2011-10-25,111156195,https://www.sec.gov/Archives/edgar/data/51143/000110465911057630/a11-25576_110q.htm,All Good
51143,10-q,2011-07-26,11986931,https://www.sec.gov/Archives/edgar/data/51143/000110465911040759/a11-12772_110q.htm,All Good
51143,10-q,2011-04-26,11779482,https://www.sec.gov/Archives/edgar/data/51143/000110465911022352/a11-9215_110q.htm,All Good
200406,10-q,2011-11-08,111187816,https://www.sec.gov/Archives/edgar/data/200406/000095012311096471/y93154e10vq.htm,All Good
200406,10-q,2011-08-09,111020994,https://www.sec.gov/Archives/edgar/data/200406/000095012311075098/y91358e10vq.htm,All Good
200406,10-q,2011-05-10,11827235,https://www.sec.gov/Archives/edgar/data/200406/000095012311048125/y90387e10vq.htm,All Good
63908,10-q,2011-11-04,111179684,https://www.sec.gov/Archives/edgar/data/63908/000119312511296575/d234738d10q.htm,All Good
63908,10-q,2011-08-05,111012479,https://www.sec.gov/Archives/edgar/data/63908/000119312511211544/d10q.htm,All Good
63908,10-q,2011-05-06,11816959,https://www.sec.gov/Archives/edgar/data/63908/000119312511129826/d10q.htm,All Good
310158,10-q,2011-11-08,111188685,https://www.sec.gov/Archives/edgar/data/310158/000095012311096564/y92563e10vq.htm,All Good
310158,10-q,2011-08-08,111015662,https://www.sec.gov/Archives/edgar/data/310158/000095012311074096/y91416e10vq.htm,All Good
310158,10-q,2011-05-09,11821395,https://www.sec.gov/Archives/edgar/data/310158/000095012311047041/y90523e10vq.htm,All Good
66740,10-q,2011-11-03,111177680,https://www.sec.gov/Archives/edgar/data/66740/000110465911060552/a11-25257_110q.htm,All Good
66740,10-q,2011-08-04,111010990,https://www.sec.gov/Archives/edgar/data/66740/000110465911043748/a11-13699_110q.htm,All Good
66740,10-q,2011-05-05,11813867,https://www.sec.gov/Archives/edgar/data/66740/000110465911026236/a11-8394_110q.htm,All Good
70858,10-q,2011-11-03,111177853,https://www.sec.gov/Archives/edgar/data/70858/000007085811000140/bac-9302011x10q.htm,All Good
70858,10-q,2011-08-04,111010893,https://www.sec.gov/Archives/edgar/data/70858/000095012311072937/g27236e10vq.htm,All Good
70858,10-q,2011-05-05,11814576,https://www.sec.gov/Archives/edgar/data/70858/000095012311045620/g26405e10vq.htm,All Good
