cik,filing_type,date,film_number,download_link,status
1055726,10-q,2012-11-07,121187308,https://www.sec.gov/Archives/edgar/data/1055726/000119312512457586/d398415d10q.htm,All Good
1055726,10-q,2012-08-09,121020419,https://www.sec.gov/Archives/edgar/data/1055726/000119312512347489/d351681d10q.htm,All Good
1055726,10-q,2012-05-09,12826670,https://www.sec.gov/Archives/edgar/data/1055726/000119312512222402/d330124d10q.htm,All Good
4962,10-q,2012-10-31,121171038,https://www.sec.gov/Archives/edgar/data/4962/000119312512443821/d429609d10q.htm,All Good
4962,10-q,2012-08-02,121004313,https://www.sec.gov/Archives/edgar/data/4962/000119312512332179/d387264d10q.htm,All Good
4962,10-q,2012-05-01,12800018,https://www.sec.gov/Archives/edgar/data/4962/000119312512200270/d339106d10q.htm,All Good
732712,10-q,2012-10-25,121162119,https://www.sec.gov/Archives/edgar/data/732712/000119312512435626/d405314d10q.htm,All Good
732712,10-q,2012-07-30,12994153,https://www.sec.gov/Archives/edgar/data/732712/000119312512322636/d357176d10q.htm,All Good
732712,10-q,2012-04-26,12784212,https://www.sec.gov/Archives/edgar/data/732712/000119312512186263/d317161d10q.htm,All Good
12927,10-q,2012-10-24,121158198,https://www.sec.gov/Archives/edgar/data/12927/000001292712000024/a0930201210-q.htm,All Good
12927,10-q,2012-07-25,12978533,https://www.sec.gov/Archives/edgar/data/12927/000001292712000012/a0630201210-q.htm,All Good
12927,10-q,2012-04-25,12778966,https://www.sec.gov/Archives/edgar/data/12927/000119312512181463/d304990d10q.htm,All Good
77476,10-q,2012-10-17,121148942,https://www.sec.gov/Archives/edgar/data/77476/000144530512003144/pepsicoq3-10xq982012.htm,All Good
77476,10-q,2012-07-25,12979503,https://www.sec.gov/Archives/edgar/data/77476/000119312512314695/d368585d10q.htm,All Good
77476,10-q,2012-04-26,12783860,https://www.sec.gov/Archives/edgar/data/77476/000119312512186092/d320879d10q.htm,All Good
18230,10-q,2012-11-02,121175798,https://www.sec.gov/Archives/edgar/data/18230/000001823012000506/cat_10qx9302012.htm,All Good
18230,10-q,2012-08-06,121008801,https://www.sec.gov/Archives/edgar/data/18230/000001823012000409/cat_10qx6302012.htm,All Good
18230,10-q,2012-05-07,12816441,https://www.sec.gov/Archives/edgar/data/18230/000001823012000280/cat_10qx3312012.htm,All Good
19617,10-q,2012-11-08,121188406,https://www.sec.gov/Archives/edgar/data/19617/000001961712000308/corpq32012.htm,All Good
19617,10-q,2012-08-09,121018590,https://www.sec.gov/Archives/edgar/data/19617/000001961712000264/jpm-2012063010q.htm,All Good
19617,10-q/a,2012-08-09,121018510,https://www.sec.gov/Archives/edgar/data/19617/000001961712000262/jpm-2012033110qamended.htm,All Good
19617,10-q,2012-05-10,12830854,https://www.sec.gov/Archives/edgar/data/19617/000001961712000213/jpm-2012033110q.htm,All Good
93410,10-q,2012-11-06,121182266,https://www.sec.gov/Archives/edgar/data/93410/000009341012000003/cvx-9302012x10qdoc.htm,All Good
93410,10-q,2012-08-02,121002340,https://www.sec.gov/Archives/edgar/data/93410/000119312512330913/d357441d10q.htm,All Good
93410,10-q,2012-05-03,12808126,https://www.sec.gov/Archives/edgar/data/93410/000119312512207154/d316080d10q.htm,All Good
836147,10-q,2012-11-08,121189170,https://www.sec.gov/Archives/edgar/data/836147/000143774912011234/mbc_10q-093012.htm,All Good
836147,10-q,2012-08-14,121029734,https://www.sec.gov/Archives/edgar/data/836147/000143774912008364/mbc_10q-063012.htm,All Good
836147,10-q,2012-05-15,12841255,https://www.sec.gov/Archives/edgar/data/836147/000119312512233061/d323018d10q.htm,All Good
21344,10-q,2012-10-25,121161133,https://www.sec.gov/Archives/edgar/data/21344/000002134412000051/a2012092810q.htm,All Good
21344,10-q,2012-07-26,12986571,https://www.sec.gov/Archives/edgar/data/21344/000002134412000037/a2012062910q.htm,All Good
21344,10-q,2012-04-26,12782461,https://www.sec.gov/Archives/edgar/data/21344/000002134412000023/a2012033010q.htm,All Good
1001039,10-q,2012-08-07,121014210,https://www.sec.gov/Archives/edgar/data/1001039/000119312512341212/d359890d10q.htm,All Good
1001039,10-q,2012-05-08,12822390,https://www.sec.gov/Archives/edgar/data/1001039/000119312512218856/d318406d10q.htm,All Good
1001039,10-q,2012-02-07,12578708,https://www.sec.gov/Archives/edgar/data/1001039/000119312512043966/d270631d10q.htm,All Good
34088,10-q,2012-11-06,121182343,https://www.sec.gov/Archives/edgar/data/34088/000003408812000050/xom10q3q12.htm,All Good
34088,10-q,2012-08-02,121002677,https://www.sec.gov/Archives/edgar/data/34088/000003408812000036/xom10q2q12.htm,All Good
34088,10-q,2012-05-03,12809164,https://www.sec.gov/Archives/edgar/data/34088/000119312512208076/d328062d10q.htm,All Good
40545,10-q,2012-11-07,121184263,https://www.sec.gov/Archives/edgar/data/40545/000004054512000088/form10q3q.htm,All Good
40545,10-q,2012-07-30,12994077,https://www.sec.gov/Archives/edgar/data/40545/000004054512000071/ge10q06302012.htm,All Good
40545,10-q/a,2012-05-23,12863944,https://www.sec.gov/Archives/edgar/data/40545/000004054512000050/form10qa.htm,All Good
40545,10-q/a,2012-05-09,12826688,https://www.sec.gov/Archives/edgar/data/40545/000004055412000062/form10qa.htm,All Good
40545,10-q,2012-05-04,12814864,https://www.sec.gov/Archives/edgar/data/40545/000004054512000037/ge10q1q12.htm,All Good
47217,10-q,2012-09-10,121081418,https://www.sec.gov/Archives/edgar/data/47217/000104746912008732/a2210845z10-q.htm,All Good
47217,10-q,2012-06-08,12898667,https://www.sec.gov/Archives/edgar/data/47217/000104746912006550/a2209764z10-q.htm,All Good
47217,10-q,2012-03-12,12684587,https://www.sec.gov/Archives/edgar/data/47217/000104746912002476/a2207600z10-q.htm,All Good
886206,10-q,2012-07-03,12944633,https://www.sec.gov/Archives/edgar/data/886206/000088620612000028/form10q_052612.htm,All Good
886206,10-q,2012-04-04,12742717,https://www.sec.gov/Archives/edgar/data/886206/000088620612000018/form10q_02252012.htm,All Good
886206,10-q/a,2012-01-26,12545685,https://www.sec.gov/Archives/edgar/data/886206/000088620612000006/form10q_a.htm,All Good
886206,10-q,2012-01-05,12511308,https://www.sec.gov/Archives/edgar/data/886206/000088620612000004/form10q_010512.htm,All Good
354950,10-q,2012-11-21,121221307,https://www.sec.gov/Archives/edgar/data/354950/000035495012000035/hd_10qx10282012.htm,All Good
354950,10-q,2012-08-22,121049901,https://www.sec.gov/Archives/edgar/data/354950/000035495012000024/hd_10qx07292012.htm,All Good
354950,10-q,2012-05-24,12867505,https://www.sec.gov/Archives/edgar/data/354950/000035495012000012/hd_10qx04292012.htm,All Good
51143,10-q,2012-10-30,121168433,https://www.sec.gov/Archives/edgar/data/51143/000110465912072210/a12-20368_110q.htm,All Good
51143,10-q,2012-07-31,12996395,https://www.sec.gov/Archives/edgar/data/51143/000110465912052637/a12-10636_110q.htm,All Good
51143,10-q,2012-04-24,12775480,https://www.sec.gov/Archives/edgar/data/51143/000110465912027715/a12-7383_110q.htm,All Good
200406,10-q,2012-11-09,121191260,https://www.sec.gov/Archives/edgar/data/200406/000020040612000140/jnj3q930201210q.htm,All Good
200406,10-q,2012-08-02,121001122,https://www.sec.gov/Archives/edgar/data/200406/000020040612000119/jnj2q71201210q.htm,All Good
200406,10-q,2012-05-07,12818532,https://www.sec.gov/Archives/edgar/data/200406/000020040612000081/jnj41201210q.htm,All Good
63908,10-q,2012-11-01,121172554,https://www.sec.gov/Archives/edgar/data/63908/000006390812000044/mcd-9302012x10q.htm,All Good
63908,10-q,2012-08-06,121008674,https://www.sec.gov/Archives/edgar/data/63908/000119312512336626/d367139d10q.htm,All Good
63908,10-q,2012-05-08,12820110,https://www.sec.gov/Archives/edgar/data/63908/000119312512217184/d321624d10q.htm,All Good
310158,10-q,2012-11-09,121194445,https://www.sec.gov/Archives/edgar/data/310158/000119312512463586/d400394d10q.htm,All Good
310158,10-q,2012-08-07,121014154,https://www.sec.gov/Archives/edgar/data/310158/000119312512341189/d351112d10q.htm,All Good
310158,10-q,2012-05-08,12819619,https://www.sec.gov/Archives/edgar/data/310158/000119312512216683/d318209d10q.htm,All Good
66740,10-q,2012-11-01,121173386,https://www.sec.gov/Archives/edgar/data/66740/000110465912073165/a12-19916_110q.htm,All Good
66740,10-q,2012-08-02,121003647,https://www.sec.gov/Archives/edgar/data/66740/000110465912053732/a12-13723_110q.htm,All Good
66740,10-q,2012-05-03,12808442,https://www.sec.gov/Archives/edgar/data/66740/000110465912032441/a12-7680_110q.htm,All Good
70858,10-q,2012-11-02,121176877,https://www.sec.gov/Archives/edgar/data/70858/000007085812000362/bac-9302012x10q.htm,All Good
