cik,filing_type,date,film_number,download_link,status
1055726,10-q,2005-11-09,51190075,https://www.sec.gov/Archives/edgar/data/1055726/000110465905054066/a05-17892_110q.htm,All Good
1055726,10-q,2005-08-09,51009845,https://www.sec.gov/Archives/edgar/data/1055726/000110465905037867/a05-12276_110q.htm,All Good
1055726,10-q,2005-05-10,5815744,https://www.sec.gov/Archives/edgar/data/1055726/000110465905022059/a05-8347_110q.htm,All Good
4962,10-q,2005-11-09,51190955,https://www.sec.gov/Archives/edgar/data/4962/000000496205000214/thirdquarter2005e.txt,All Good
4962,10-q,2005-08-03,5993391,https://www.sec.gov/Archives/edgar/data/4962/000000496205000180/quarterly.txt,All Good
4962,10-q,2005-05-03,5795952,https://www.sec.gov/Archives/edgar/data/4962/000000496205000131/blue10q.txt,All Good
732712,10-q,2005-11-08,51185657,https://www.sec.gov/Archives/edgar/data/732712/000119312505219525/d10q.htm,All Good
732712,10-q,2005-08-08,51005337,https://www.sec.gov/Archives/edgar/data/732712/000119312505160449/d10q.htm,All Good
732712,10-q,2005-05-09,5810952,https://www.sec.gov/Archives/edgar/data/732712/000119312505100622/d10q.htm,All Good
12927,10-q,2005-10-26,51157051,https://www.sec.gov/Archives/edgar/data/12927/000119312505208763/d10q.htm,All Good
12927,10-q,2005-07-27,5977082,https://www.sec.gov/Archives/edgar/data/12927/000119312505149899/d10q.htm,All Good
12927,10-q,2005-04-27,5777315,https://www.sec.gov/Archives/edgar/data/12927/000119312505086964/d10q.htm,All Good
77476,10-q,2005-09-30,51113748,https://www.sec.gov/Archives/edgar/data/77476/000119312505194872/d10q.htm,All Good
77476,10-q,2005-07-14,5953457,https://www.sec.gov/Archives/edgar/data/77476/000119312505141920/d10q.htm,All Good
77476,10-q,2005-04-15,5754691,https://www.sec.gov/Archives/edgar/data/77476/000119312505077841/d10q.htm,All Good
18230,10-q,2005-11-04,51178827,https://www.sec.gov/Archives/edgar/data/18230/000001823005000719/form10q_3q05.htm,All Good
