cik,filing_type,date,film_number,download_link,status
1055726,10-q,2010-11-12,101186561,https://www.sec.gov/Archives/edgar/data/1055726/000119312510258809/d10q.htm,All Good
1055726,10-q,2010-08-13,101016359,https://www.sec.gov/Archives/edgar/data/1055726/000119312510188951/d10q.htm,All Good
1055726,10-q,2010-05-17,10839583,https://www.sec.gov/Archives/edgar/data/1055726/000119312510122273/d10q.htm,All Good
4962,10-q,2010-11-03,101162370,https://www.sec.gov/Archives/edgar/data/4962/000095012310100214/y86865e10vq.htm,All Good
4962,10-q,2010-08-05,10992505,https://www.sec.gov/Archives/edgar/data/4962/000095012310072749/c02607e10vq.htm,All Good
4962,10-q,2010-05-05,10802762,https://www.sec.gov/Archives/edgar/data/4962/000119312510109084/d10q.htm,All Good
732712,10-q,2010-10-28,101148093,https://www.sec.gov/Archives/edgar/data/732712/000119312510239707/d10q.htm,All Good
732712,10-q,2010-07-29,10977771,https://www.sec.gov/Archives/edgar/data/732712/000119312510170567/d10q.htm,All Good
732712,10-q,2010-04-28,10776188,https://www.sec.gov/Archives/edgar/data/732712/000119312510096291/d10q.htm,All Good
12927,10-q,2010-10-20,101132326,https://www.sec.gov/Archives/edgar/data/12927/000119312510232425/d10q.htm,All Good
12927,10-q,2010-07-28,10973777,https://www.sec.gov/Archives/edgar/data/12927/000119312510168724/d10q.htm,All Good
12927,10-q,2010-04-21,10761126,https://www.sec.gov/Archives/edgar/data/12927/000119312510088623/d10q.htm,All Good
77476,10-q,2010-10-07,101114200,https://www.sec.gov/Archives/edgar/data/77476/000119312510225896/d10q.htm,All Good
77476,10-q,2010-07-20,10961003,https://www.sec.gov/Archives/edgar/data/77476/000119312510161855/d10q.htm,All Good
77476,10-q,2010-04-23,10765811,https://www.sec.gov/Archives/edgar/data/77476/000119312510090778/d10q.htm,All Good
18230,10-q,2010-11-04,101164105,https://www.sec.gov/Archives/edgar/data/18230/000110465910055930/a10-17894_110q.htm,All Good
18230,10-q/a,2010-08-26,101039848,https://www.sec.gov/Archives/edgar/data/18230/000110465910046030/a10-13939_110qa.htm,All Good
18230,10-q,2010-07-30,10980508,https://www.sec.gov/Archives/edgar/data/18230/000110465910040750/a10-13939_110q.htm,All Good
18230,10-q,2010-05-03,10792688,https://www.sec.gov/Archives/edgar/data/18230/000001823010000234/form10q_1q10.htm,All Good
19617,10-q,2010-11-09,101173887,https://www.sec.gov/Archives/edgar/data/19617/000095012310102689/y86142e10vq.htm,All Good
19617,10-q,2010-08-06,10998280,https://www.sec.gov/Archives/edgar/data/19617/000095012310074254/y80915e10vq.htm,All Good
19617,10-q,2010-05-10,10816202,https://www.sec.gov/Archives/edgar/data/19617/000095012310047138/y84097e10vq.htm,All Good
93410,10-q,2010-11-05,101168126,https://www.sec.gov/Archives/edgar/data/93410/000095012310101589/f56750e10vq.htm,All Good
93410,10-q,2010-08-05,10993367,https://www.sec.gov/Archives/edgar/data/93410/000095012310073101/f55996e10vq.htm,All Good
93410,10-q,2010-05-05,10800094,https://www.sec.gov/Archives/edgar/data/93410/000095012310044204/f55136e10vq.htm,All Good
836147,10-q,2010-11-09,101175541,https://www.sec.gov/Archives/edgar/data/836147/000095012310103109/c08147e10vq.htm,All Good
836147,10-q,2010-08-11,101006403,https://www.sec.gov/Archives/edgar/data/836147/000095012310075923/c04723e10vq.htm,All Good
836147,10-q,2010-05-13,10826492,https://www.sec.gov/Archives/edgar/data/836147/000095012310048750/c00800e10vq.htm,All Good
21344,10-q,2010-10-29,101150262,https://www.sec.gov/Archives/edgar/data/21344/000104746910008993/a2200602z10-q.htm,All Good
21344,10-q,2010-08-02,10983032,https://www.sec.gov/Archives/edgar/data/21344/000104746910006835/a2199494z10-q.htm,All Good
21344,10-q,2010-04-29,10781223,https://www.sec.gov/Archives/edgar/data/21344/000104746910004416/a2198349z10-q.htm,All Good
1001039,10-q,2010-08-10,101005665,https://www.sec.gov/Archives/edgar/data/1001039/000119312510184920/d10q.htm,All Good
1001039,10-q,2010-05-11,10821745,https://www.sec.gov/Archives/edgar/data/1001039/000119312510116299/d10q.htm,All Good
1001039,10-q,2010-02-09,10585093,https://www.sec.gov/Archives/edgar/data/1001039/000119312510025949/d10q.htm,All Good
34088,10-q,2010-11-03,101161315,https://www.sec.gov/Archives/edgar/data/34088/000119312510246050/d10q.htm,All Good
34088,10-q,2010-08-04,10990783,https://www.sec.gov/Archives/edgar/data/34088/000119312510177038/d10q.htm,All Good
34088,10-q,2010-05-06,10806404,https://www.sec.gov/Archives/edgar/data/34088/000119312510110539/d10q.htm,All Good
40545,10-q,2010-11-03,101162145,https://www.sec.gov/Archives/edgar/data/40545/000119312510246292/d10q.htm,All Good
40545,10-q,2010-08-02,10983632,https://www.sec.gov/Archives/edgar/data/40545/000119312510173396/d10q.htm,All Good
40545,10-q,2010-05-07,10809678,https://www.sec.gov/Archives/edgar/data/40545/000004054510000042/frm10q.htm,All Good
47217,10-q,2010-09-09,101063332,https://www.sec.gov/Archives/edgar/data/47217/000104746910007964/a2199982z10-q.htm,All Good
47217,10-q,2010-06-08,10884919,https://www.sec.gov/Archives/edgar/data/47217/000104746910005835/a2198904z10-q.htm,All Good
47217,10-q,2010-03-11,10674249,https://www.sec.gov/Archives/edgar/data/47217/000104746910002073/a2196584z10-q.htm,All Good
886206,10-q,2010-07-08,10944273,https://www.sec.gov/Archives/edgar/data/886206/000088620610000021/form10q_70810.htm,All Good
886206,10-q,2010-04-08,10739879,https://www.sec.gov/Archives/edgar/data/886206/000088620610000011/form10q_040810.htm,All Good
886206,10-q,2010-01-07,10515396,https://www.sec.gov/Archives/edgar/data/886206/000088620610000003/form10q_010710.htm,All Good
354950,10-q,2010-12-02,101227996,https://www.sec.gov/Archives/edgar/data/354950/000119312510272940/d10q.htm,All Good
354950,10-q,2010-09-02,101055119,https://www.sec.gov/Archives/edgar/data/354950/000119312510203898/d10q.htm,All Good
354950,10-q,2010-06-03,10876138,https://www.sec.gov/Archives/edgar/data/354950/000119312510132167/d10q.htm,All Good
51143,10-q,2010-10-26,101141727,https://www.sec.gov/Archives/edgar/data/51143/000110465910053716/a10-17268_110q.htm,All Good
51143,10-q,2010-07-27,10971421,https://www.sec.gov/Archives/edgar/data/51143/000110465910039808/a10-12603_110q.htm,All Good
51143,10-q,2010-04-27,10772858,https://www.sec.gov/Archives/edgar/data/51143/000110465910022064/a10-5717_110q.htm,All Good
200406,10-q,2010-11-10,101179495,https://www.sec.gov/Archives/edgar/data/200406/000095012310103817/y86465e10vq.htm,All Good
200406,10-q,2010-08-11,101007554,https://www.sec.gov/Archives/edgar/data/200406/000095012310076076/y84968e10vq.htm,All Good
200406,10-q,2010-05-10,10817216,https://www.sec.gov/Archives/edgar/data/200406/000095012310047299/y83341e10vq.htm,All Good
63908,10-q,2010-11-05,101166832,https://www.sec.gov/Archives/edgar/data/63908/000119312510249223/d10q.htm,All Good
63908,10-q,2010-08-05,10993191,https://www.sec.gov/Archives/edgar/data/63908/000119312510178634/d10q.htm,All Good
63908,10-q,2010-05-06,10804585,https://www.sec.gov/Archives/edgar/data/63908/000119312510110148/d10q.htm,All Good
