cik,filing_type,date,film_number,download_link,status
4962,10-q,1997-11-14,97718869,https://www.sec.gov/Archives/edgar/data/4962/0000004962-97-000042.txt,No '.htm' File Found
4962,10-q,1997-08-14,97662379,https://www.sec.gov/Archives/edgar/data/4962/0000004962-97-000037.txt,No '.htm' File Found
4962,10-q,1997-05-15,97608290,https://www.sec.gov/Archives/edgar/data/4962/0000004962-97-000021.txt,No '.htm' File Found
732712,10-q,1997-11-14,97718544,https://www.sec.gov/Archives/edgar/data/732712/0001036050-97-001036.txt,No '.htm' File Found
732712,10-q,1997-07-24,97644960,https://www.sec.gov/Archives/edgar/data/732712/0001036050-97-000510.txt,No '.htm' File Found
732712,10-q,1997-05-12,97600955,https://www.sec.gov/Archives/edgar/data/732712/0000950109-97-003891.txt,No '.htm' File Found
12927,10-q,1997-11-14,97717904,https://www.sec.gov/Archives/edgar/data/12927/0000012927-97-000042.txt,No '.htm' File Found
12927,10-q,1997-08-14,97663206,https://www.sec.gov/Archives/edgar/data/12927/0000012927-97-000032.txt,No '.htm' File Found
12927,10-q,1997-05-14,97604146,https://www.sec.gov/Archives/edgar/data/12927/0000012927-97-000026.txt,No '.htm' File Found
77476,10-q,1997-10-22,97699258,https://www.sec.gov/Archives/edgar/data/77476/0000077476-97-000026.txt,No '.htm' File Found
77476,10-q/a,1997-08-05,97651580,https://www.sec.gov/Archives/edgar/data/77476/0000077476-97-000016.txt,No '.htm' File Found
77476,10-q,1997-07-29,97646761,https://www.sec.gov/Archives/edgar/data/77476/0000077476-97-000015.txt,No '.htm' File Found
77476,10-q,1997-05-05,97595677,https://www.sec.gov/Archives/edgar/data/77476/0000077476-97-000011.txt,No '.htm' File Found
18230,10-q,1997-10-31,97705041,https://www.sec.gov/Archives/edgar/data/18230/0000018230-97-000038.txt,No '.htm' File Found
18230,10-q,1997-08-06,97651938,https://www.sec.gov/Archives/edgar/data/18230/0000018230-97-000030.txt,No '.htm' File Found
18230,10-q,1997-04-30,97591833,https://www.sec.gov/Archives/edgar/data/18230/0000018230-97-000013.txt,No '.htm' File Found
19617,10-q,1997-11-14,97720733,https://www.sec.gov/Archives/edgar/data/19617/0000950123-97-009646.txt,No '.htm' File Found
19617,10-q,1997-08-14,97663410,https://www.sec.gov/Archives/edgar/data/19617/0000950123-97-006938.txt,No '.htm' File Found
19617,10-q,1997-05-15,97608647,https://www.sec.gov/Archives/edgar/data/19617/0000950123-97-004417.txt,No '.htm' File Found
93410,10-q,1997-11-12,97713657,https://www.sec.gov/Archives/edgar/data/93410/0000093410-97-000008.txt,No '.htm' File Found
93410,10-q,1997-08-06,97652115,https://www.sec.gov/Archives/edgar/data/93410/0000093410-97-000007.txt,No '.htm' File Found
93410,10-q,1997-05-09,97598807,https://www.sec.gov/Archives/edgar/data/93410/0000093410-97-000005.txt,No '.htm' File Found
21344,10-q,1997-11-13,97717026,https://www.sec.gov/Archives/edgar/data/21344/0000021344-97-000034.txt,No '.htm' File Found
21344,10-q,1997-08-14,97660994,https://www.sec.gov/Archives/edgar/data/21344/0000021344-97-000027.txt,No '.htm' File Found
21344,10-q,1997-05-13,97602521,https://www.sec.gov/Archives/edgar/data/21344/0000021344-97-000019.txt,No '.htm' File Found
1001039,10-q,1997-08-07,97652873,https://www.sec.gov/Archives/edgar/data/1001039/0001001039-97-000034.txt,No '.htm' File Found
1001039,10-q,1997-05-15,97606204,https://www.sec.gov/Archives/edgar/data/1001039/0001001039-97-000010.txt,No '.htm' File Found
1001039,10-q,1997-02-14,97532738,https://www.sec.gov/Archives/edgar/data/1001039/0001001039-97-000004.txt,No '.htm' File Found
34088,10-q,1997-11-12,97713990,https://www.sec.gov/Archives/edgar/data/34088/0000034088-97-000006.txt,No '.htm' File Found
34088,10-q,1997-08-12,97656728,https://www.sec.gov/Archives/edgar/data/34088/0000034088-97-000005.txt,No '.htm' File Found
34088,10-q,1997-05-13,97601914,https://www.sec.gov/Archives/edgar/data/34088/0000034088-97-000003.txt,No '.htm' File Found
40545,10-q,1997-10-24,97700241,https://www.sec.gov/Archives/edgar/data/40545/0000040545-97-000021.txt,No '.htm' File Found
40545,10-q,1997-07-30,97647966,https://www.sec.gov/Archives/edgar/data/40545/0000040545-97-000017.txt,No '.htm' File Found
40545,10-q,1997-05-13,97602738,https://www.sec.gov/Archives/edgar/data/40545/0000040545-97-000010.txt,No '.htm' File Found
47217,10-q,1997-09-12,97679796,https://www.sec.gov/Archives/edgar/data/47217/0000047217-97-000031.txt,No '.htm' File Found
47217,10-q,1997-06-16,97624144,https://www.sec.gov/Archives/edgar/data/47217/0000047217-97-000021.txt,No '.htm' File Found
47217,10-q,1997-03-17,97557314,https://www.sec.gov/Archives/edgar/data/47217/0000047217-97-000018.txt,No '.htm' File Found
886206,10-q,1997-07-15,97640687,https://www.sec.gov/Archives/edgar/data/886206/0000950149-97-001366.txt,No '.htm' File Found
886206,10-q,1997-04-02,97573780,https://www.sec.gov/Archives/edgar/data/886206/0000950149-97-000709.txt,No '.htm' File Found
886206,10-q,1997-01-14,97505486,https://www.sec.gov/Archives/edgar/data/886206/0000950149-97-000069.txt,No '.htm' File Found
354950,10-q,1997-12-02,97731298,https://www.sec.gov/Archives/edgar/data/354950/0000354950-97-000006.txt,No '.htm' File Found
354950,10-q,1997-08-28,97671441,https://www.sec.gov/Archives/edgar/data/354950/0000354950-97-000004.txt,No '.htm' File Found
354950,10-q,1997-06-02,97617967,https://www.sec.gov/Archives/edgar/data/354950/0000354950-97-000003.txt,No '.htm' File Found
51143,10-q,1997-11-10,97711231,https://www.sec.gov/Archives/edgar/data/51143/0001005477-97-002469.txt,No '.htm' File Found
51143,10-q,1997-08-14,97660451,https://www.sec.gov/Archives/edgar/data/51143/0000912057-97-027788.txt,No '.htm' File Found
51143,10-q,1997-05-13,97601814,https://www.sec.gov/Archives/edgar/data/51143/0001005477-97-001362.txt,No '.htm' File Found
200406,10-q,1997-11-07,97710268,https://www.sec.gov/Archives/edgar/data/200406/0000200406-97-000012.txt,No '.htm' File Found
200406,10-q,1997-08-08,97653845,https://www.sec.gov/Archives/edgar/data/200406/0000200406-97-000009.txt,No '.htm' File Found
200406,10-q,1997-05-09,97598851,https://www.sec.gov/Archives/edgar/data/200406/0000200406-97-000001.txt,No '.htm' File Found
63908,10-q,1997-11-13,97715151,https://www.sec.gov/Archives/edgar/data/63908/0000063908-97-000049.txt,No '.htm' File Found
63908,10-q/a,1997-08-14,97660210,https://www.sec.gov/Archives/edgar/data/63908/0000063908-97-000035.txt,No '.htm' File Found
63908,10-q,1997-08-12,97656443,https://www.sec.gov/Archives/edgar/data/63908/0000063908-97-000033.txt,No '.htm' File Found
63908,10-q,1997-05-13,97601654,https://www.sec.gov/Archives/edgar/data/63908/0000063908-97-000026.txt,No '.htm' File Found
310158,10-q,1997-11-03,97706429,https://www.sec.gov/Archives/edgar/data/310158/0000310158-97-000017.txt,No '.htm' File Found
310158,10-q,1997-08-08,97654418,https://www.sec.gov/Archives/edgar/data/310158/0000310158-97-000016.txt,No '.htm' File Found
310158,10-q,1997-05-02,97594131,https://www.sec.gov/Archives/edgar/data/310158/0000310158-97-000008.txt,No '.htm' File Found
66740,10-q,1997-10-29,97703161,https://www.sec.gov/Archives/edgar/data/66740/0000066740-97-000019.txt,No '.htm' File Found
66740,10-q,1997-08-13,97659081,https://www.sec.gov/Archives/edgar/data/66740/0000066740-97-000015.txt,No '.htm' File Found
66740,10-q,1997-04-22,97585006,https://www.sec.gov/Archives/edgar/data/66740/0000066740-97-000006.txt,No '.htm' File Found
70858,10-q,1997-11-14,97720006,https://www.sec.gov/Archives/edgar/data/70858/0000950168-97-003369.txt,No '.htm' File Found
70858,10-q,1997-08-14,97662219,https://www.sec.gov/Archives/edgar/data/70858/0000950168-97-002267.txt,No '.htm' File Found
70858,10-q,1997-05-15,97609176,https://www.sec.gov/Archives/edgar/data/70858/0000950168-97-001328.txt,No '.htm' File Found
78003,10-q,1997-11-12,97713265,https://www.sec.gov/Archives/edgar/data/78003/0000078003-97-000015.txt,No '.htm' File Found
78003,10-q,1997-08-13,97658829,https://www.sec.gov/Archives/edgar/data/78003/0000078003-97-000005.txt,No '.htm' File Found
78003,10-q,1997-05-13,97602659,https://www.sec.gov/Archives/edgar/data/78003/0000078003-97-000002.txt,No '.htm' File Found
80424,10-q,1997-11-14,97719523,https://www.sec.gov/Archives/edgar/data/80424/0000080424-97-000075.txt,No '.htm' File Found
80424,10-q,1997-05-09,97598888,https://www.sec.gov/Archives/edgar/data/80424/0000080424-97-000023.txt,No '.htm' File Found
80424,10-q,1997-02-11,97523688,https://www.sec.gov/Archives/edgar/data/80424/0000080424-97-000006.txt,No '.htm' File Found
732717,10-q,1997-11-12,97712793,https://www.sec.gov/Archives/edgar/data/732717/0000732717-97-000028.txt,No '.htm' File Found
732717,10-q,1997-08-13,97659009,https://www.sec.gov/Archives/edgar/data/732717/0000732717-97-000023.txt,No '.htm' File Found
732717,10-q,1997-05-09,97599907,https://www.sec.gov/Archives/edgar/data/732717/0000732717-97-000014.txt,No '.htm' File Found
86312,10-q,1997-11-12,97714699,https://www.sec.gov/Archives/edgar/data/86312/0000086312-97-000028.txt,No '.htm' File Found
86312,10-q,1997-08-14,97661848,https://www.sec.gov/Archives/edgar/data/86312/0000086312-97-000026.txt,No '.htm' File Found
