cik,filing_type,date,film_number,download_link,status
1675149,10-q,2017-10-27,171159376,https://www.sec.gov/Archives/edgar/data/1675149/000119312517322992/d435199d10q.htm,All Good
1675149,10-q,2017-08-03,171005761,https://www.sec.gov/Archives/edgar/data/1675149/000119312517247547/d408179d10q.htm,All Good
1675149,10-q,2017-05-10,17831462,https://www.sec.gov/Archives/edgar/data/1675149/000119312517166072/d323827d10q.htm,All Good
1055726,10-q,2017-11-08,171186486,https://www.sec.gov/Archives/edgar/data/1055726/000105572617000039/ino-93017x10q.htm,All Good
1055726,10-q,2017-08-08,171014562,https://www.sec.gov/Archives/edgar/data/1055726/000105572617000036/ino-63017x10q.htm,All Good
1055726,10-q,2017-05-10,17830022,https://www.sec.gov/Archives/edgar/data/1055726/000105572617000024/ino-33117x10q.htm,All Good
4962,10-q,2017-10-24,171150546,https://www.sec.gov/Archives/edgar/data/4962/000000496217000105/axpq31710q.htm,All Good
4962,10-q,2017-07-25,17980019,https://www.sec.gov/Archives/edgar/data/4962/000000496217000071/axpq21710q.htm,All Good
4962,10-q,2017-04-27,17788534,https://www.sec.gov/Archives/edgar/data/4962/000000496217000040/axpq11710q.htm,All Good
732712,10-q,2017-10-26,171155612,https://www.sec.gov/Archives/edgar/data/732712/000073271217000009/a2017q310-q.htm,All Good
732712,10-q,2017-08-03,171004215,https://www.sec.gov/Archives/edgar/data/732712/000119312517247167/d427004d10q.htm,All Good
732712,10-q,2017-04-27,17787368,https://www.sec.gov/Archives/edgar/data/732712/000119312517141799/d303348d10q.htm,All Good
1132105,10-q,2017-11-17,171209833,https://www.sec.gov/Archives/edgar/data/1132105/000155837017009006/spwh-20171028x10q.htm,All Good
1132105,10-q,2017-08-18,171040197,https://www.sec.gov/Archives/edgar/data/1132105/000155837017006730/spwh-20170729x10q.htm,All Good
1132105,10-q,2017-05-19,17856578,https://www.sec.gov/Archives/edgar/data/1132105/000155837017004418/spwh-20170429x10q.htm,All Good
12927,10-q,2017-10-25,171152608,https://www.sec.gov/Archives/edgar/data/12927/000001292717000073/a201709sep3010-q.htm,All Good
12927,10-q,2017-07-26,17982145,https://www.sec.gov/Archives/edgar/data/12927/000001292717000044/a201706jun3010-q.htm,All Good
12927,10-q,2017-04-26,17783228,https://www.sec.gov/Archives/edgar/data/12927/000001292717000024/a201703mar3110-q.htm,All Good
1597033,10-q,2017-10-31,171166103,https://www.sec.gov/Archives/edgar/data/1597033/000159703317000180/sabr930201710-q.htm,All Good
1597033,10-q,2017-08-01,17996784,https://www.sec.gov/Archives/edgar/data/1597033/000159703317000149/sabr630201710-q.htm,All Good
1597033,10-q,2017-05-02,17803760,https://www.sec.gov/Archives/edgar/data/1597033/000159703317000104/sabr331201710-q.htm,All Good
77476,10-q,2017-10-04,171121954,https://www.sec.gov/Archives/edgar/data/77476/000007747617000048/pepsicoq3-10xq992017.htm,All Good
77476,10-q,2017-07-11,17960219,https://www.sec.gov/Archives/edgar/data/77476/000007747617000033/pepsicoq2-10xq6172017.htm,All Good
77476,10-q,2017-04-26,17784678,https://www.sec.gov/Archives/edgar/data/77476/000007747617000017/pepsicoq1-10xq3252017.htm,All Good
18230,10-q,2017-11-01,171167983,https://www.sec.gov/Archives/edgar/data/18230/000001823017000305/cat_10qx9302017.htm,All Good
18230,10-q,2017-08-02,17998897,https://www.sec.gov/Archives/edgar/data/18230/000001823017000245/cat_10qx6302017.htm,All Good
18230,10-q,2017-05-03,17808006,https://www.sec.gov/Archives/edgar/data/18230/000001823017000145/cat_10qx3312017.htm,All Good
19617,10-q,2017-11-01,171169441,https://www.sec.gov/Archives/edgar/data/19617/000001961717000552/corpq32017.htm,All Good
19617,10-q,2017-08-02,171000219,https://www.sec.gov/Archives/edgar/data/19617/000001961717000486/corpq22017.htm,All Good
19617,10-q,2017-05-02,17805188,https://www.sec.gov/Archives/edgar/data/19617/000001961717000364/corpq12017.htm,All Good
93410,10-q,2017-11-02,171171358,https://www.sec.gov/Archives/edgar/data/93410/000009341017000046/cvx09302017-10qdoc.htm,All Good
93410,10-q,2017-08-03,171003785,https://www.sec.gov/Archives/edgar/data/93410/000009341017000033/cvx06302017-10qdoc.htm,All Good
93410,10-q,2017-05-04,17812608,https://www.sec.gov/Archives/edgar/data/93410/000009341017000019/cvx03312017-10qdoc.htm,All Good
836147,10-q,2017-11-14,171200323,https://www.sec.gov/Archives/edgar/data/836147/000143774917019307/mbcn20170930_10q.htm,All Good
836147,10-q,2017-08-14,171029684,https://www.sec.gov/Archives/edgar/data/836147/000143774917014694/mbcn20170630_10q.htm,All Good
