cik,filing_type,date,film_number,download_link,status
4962,10-q,1998-11-16,98753648,https://www.sec.gov/Archives/edgar/data/4962/0000004962-98-000060.txt,No '.htm' File Found
4962,10-q,1998-08-14,98689064,https://www.sec.gov/Archives/edgar/data/4962/0000004962-98-000053.txt,No '.htm' File Found
4962,10-q,1998-05-14,98621655,https://www.sec.gov/Archives/edgar/data/4962/0000004962-98-000032.txt,No '.htm' File Found
732712,10-q,1998-11-10,98742897,https://www.sec.gov/Archives/edgar/data/732712/0001036050-98-001876.txt,No '.htm' File Found
732712,10-q,1998-08-13,98685192,https://www.sec.gov/Archives/edgar/data/732712/0000950109-98-004227.txt,No '.htm' File Found
732712,10-q/a,1998-06-29,98656241,https://www.sec.gov/Archives/edgar/data/732712/0001036050-98-001095.txt,No '.htm' File Found
732712,10-q,1998-05-11,98615273,https://www.sec.gov/Archives/edgar/data/732712/0000950109-98-003088.txt,No '.htm' File Found
12927,10-q,1998-11-06,98739425,https://www.sec.gov/Archives/edgar/data/12927/0000012927-98-000024.txt,No '.htm' File Found
12927,10-q,1998-08-12,98683016,https://www.sec.gov/Archives/edgar/data/12927/0000012927-98-000017.txt,No '.htm' File Found
12927,10-q,1998-05-12,98617138,https://www.sec.gov/Archives/edgar/data/12927/0000012927-98-000013.txt,No '.htm' File Found
77476,10-q,1998-10-20,98727845,https://www.sec.gov/Archives/edgar/data/77476/0000077476-98-000043.txt,No '.htm' File Found
77476,10-q,1998-07-28,98672192,https://www.sec.gov/Archives/edgar/data/77476/0000077476-98-000035.txt,No '.htm' File Found
77476,10-q,1998-05-05,98609917,https://www.sec.gov/Archives/edgar/data/77476/0000077476-98-000024.txt,No '.htm' File Found
77476,10-q/a,1998-01-30,98517764,https://www.sec.gov/Archives/edgar/data/77476/0000077476-98-000008.txt,No '.htm' File Found
18230,10-q,1998-11-16,98750449,https://www.sec.gov/Archives/edgar/data/18230/0000018230-98-000039.txt,No '.htm' File Found
18230,10-q,1998-08-13,98686190,https://www.sec.gov/Archives/edgar/data/18230/0000018230-98-000029.txt,No '.htm' File Found
18230,10-q,1998-05-13,98618435,https://www.sec.gov/Archives/edgar/data/18230/0000018230-98-000015.txt,No '.htm' File Found
19617,10-q,1998-11-16,98752228,https://www.sec.gov/Archives/edgar/data/19617/0000950123-98-010002.txt,No '.htm' File Found
19617,10-q,1998-08-14,98690550,https://www.sec.gov/Archives/edgar/data/19617/0000950123-98-007655.txt,No '.htm' File Found
19617,10-q,1998-05-15,98625651,https://www.sec.gov/Archives/edgar/data/19617/0000950123-98-005185.txt,No '.htm' File Found
93410,10-q,1998-11-06,98739336,https://www.sec.gov/Archives/edgar/data/93410/0000093410-98-000020.txt,No '.htm' File Found
93410,10-q,1998-08-11,98682115,https://www.sec.gov/Archives/edgar/data/93410/0000093410-98-000018.txt,No '.htm' File Found
93410,10-q,1998-05-08,98613553,https://www.sec.gov/Archives/edgar/data/93410/0000093410-98-000004.txt,No '.htm' File Found
21344,10-q,1998-11-12,98745853,https://www.sec.gov/Archives/edgar/data/21344/0000021344-98-000016.txt,No '.htm' File Found
21344,10-q,1998-08-14,98690175,https://www.sec.gov/Archives/edgar/data/21344/0000021344-98-000010.txt,No '.htm' File Found
21344,10-q,1998-05-12,98616976,https://www.sec.gov/Archives/edgar/data/21344/0000021344-98-000007.txt,No '.htm' File Found
1001039,10-q,1998-08-14,98690867,https://www.sec.gov/Archives/edgar/data/1001039/0001001039-98-000036.txt,No '.htm' File Found
1001039,10-q,1998-05-14,98619254,https://www.sec.gov/Archives/edgar/data/1001039/0001001039-98-000021.txt,No '.htm' File Found
1001039,10-q,1998-02-17,98542820,https://www.sec.gov/Archives/edgar/data/1001039/0001001039-98-000009.txt,No '.htm' File Found
34088,10-q,1998-11-12,98745176,https://www.sec.gov/Archives/edgar/data/34088/0000034088-98-000005.txt,No '.htm' File Found
34088,10-q,1998-08-14,98688245,https://www.sec.gov/Archives/edgar/data/34088/0000034088-98-000003.txt,No '.htm' File Found
34088,10-q,1998-05-13,98617774,https://www.sec.gov/Archives/edgar/data/34088/0000034088-98-000001.txt,No '.htm' File Found
40545,10-q,1998-11-12,98744091,https://www.sec.gov/Archives/edgar/data/40545/0000040545-98-000031.txt,No '.htm' File Found
